# team: Cosmic Horror
# label: arm up side palm down
# timestamp: 20260226_201448
# sample_rate: 250
# samples: 3034
# duration_sec: 12.142
# channels: GSR,Ch2
#
timestamp,GSR,Ch2
1772154876.4202278,228.0,-20368.0
1772154876.4282277,228.0,-20368.0
1772154876.4262767,228.0,-20369.0
1772154876.4342766,228.0,-20369.0
1772154876.4567075,227.0,-20368.0
1772154876.4647074,227.0,-20369.0
1772154876.4582188,227.0,-20369.0
1772154876.4662187,227.0,-20369.0
1772154876.4824424,227.0,-20369.0
1772154876.4904423,227.0,-20368.0
1772154876.4839482,227.0,-20368.0
1772154876.4919481,227.0,-20368.0
1772154876.5082965,229.0,-20368.0
1772154876.5162964,229.0,-20368.0
1772154876.5098026,229.0,-20369.0
1772154876.5178025,229.0,-20368.0
1772154876.5426939,229.0,-20368.0
1772154876.5506938,229.0,-20368.0
1772154876.5426939,229.0,-20368.0
1772154876.5506938,229.0,-20368.0
1772154876.5457106,227.0,-20368.0
1772154876.5537105,227.0,-20369.0
1772154876.5457106,227.0,-20369.0
1772154876.5537105,227.0,-20369.0
1772154876.5472193,227.0,-20368.0
1772154876.5552192,227.0,-20369.0
1772154876.548726,227.0,-20369.0
1772154876.556726,227.0,-20369.0
1772154876.553261,229.0,-20369.0
1772154876.561261,229.0,-20369.0
1772154876.553261,229.0,-20368.0
1772154876.561261,229.0,-20368.0
1772154876.553261,229.0,-20369.0
1772154876.561261,229.0,-20369.0
1772154876.5556643,229.0,-20368.0
1772154876.5636642,229.0,-20369.0
1772154876.5618734,230.0,-20369.0
1772154876.5698733,230.0,-20368.0
1772154876.5715315,230.0,-20368.0
1772154876.5795314,230.0,-20368.0
1772154876.5794082,230.0,-20369.0
1772154876.587408,230.0,-20369.0
1772154876.5897322,230.0,-20369.0
1772154876.597732,230.0,-20368.0
1772154876.5964825,231.0,-20368.0
1772154876.6044824,231.0,-20369.0
1772154876.602544,231.0,-20369.0
1772154876.610544,231.0,-20369.0
1772154876.6116452,231.0,-20369.0
1772154876.619645,231.0,-20369.0
1772154876.6212575,231.0,-20369.0
1772154876.6292574,231.0,-20369.0
1772154876.63362,227.0,-20369.0
1772154876.64162,227.0,-20369.0
1772154876.6353297,227.0,-20369.0
1772154876.6433296,227.0,-20369.0
1772154876.6430886,227.0,-20369.0
1772154876.6510885,227.0,-20368.0
1772154876.6493413,227.0,-20369.0
1772154876.6573412,227.0,-20369.0
1772154876.6631913,227.0,-20369.0
1772154876.6711912,227.0,-20369.0
1772154876.6662164,227.0,-20369.0
1772154876.6742163,227.0,-20369.0
1772154876.681936,227.0,-20369.0
1772154876.689936,227.0,-20369.0
1772154876.6869564,227.0,-20369.0
1772154876.6949563,227.0,-20369.0
1772154876.6901252,227.0,-20369.0
1772154876.6981251,227.0,-20369.0
1772154876.699416,227.0,-20369.0
1772154876.7074158,227.0,-20369.0
1772154876.7056365,227.0,-20369.0
1772154876.7136364,227.0,-20369.0
1772154876.7149832,227.0,-20369.0
1772154876.7229831,227.0,-20369.0
1772154876.726959,229.0,-20369.0
1772154876.734959,229.0,-20369.0
1772154876.731957,229.0,-20370.0
1772154876.7399569,229.0,-20370.0
1772154876.7395122,229.0,-20369.0
1772154876.747512,229.0,-20369.0
1772154876.7470853,229.0,-20369.0
1772154876.7550852,229.0,-20369.0
1772154876.756946,230.0,-20370.0
1772154876.764946,230.0,-20369.0
1772154876.7742472,230.0,-20369.0
1772154876.782247,230.0,-20369.0
1772154876.7742472,230.0,-20369.0
1772154876.782247,230.0,-20370.0
1772154876.7840178,230.0,-20370.0
1772154876.7920177,230.0,-20370.0
1772154876.7855275,230.0,-20369.0
1772154876.7935274,230.0,-20370.0
1772154876.7946332,230.0,-20369.0
1772154876.802633,230.0,-20370.0
1772154876.8213542,230.0,-20370.0
1772154876.829354,230.0,-20369.0
1772154876.8228972,230.0,-20370.0
1772154876.830897,230.0,-20370.0
1772154876.8478022,231.0,-20370.0
1772154876.855802,231.0,-20370.0
1772154876.8493106,231.0,-20370.0
1772154876.8573105,231.0,-20370.0
1772154876.8740783,231.0,-20370.0
1772154876.8820782,231.0,-20370.0
1772154876.875584,231.0,-20370.0
1772154876.8835838,231.0,-20370.0
1772154876.8786058,231.0,-20370.0
1772154876.8866057,231.0,-20370.0
1772154876.8801122,231.0,-20369.0
1772154876.888112,231.0,-20369.0
1772154876.8816175,231.0,-20370.0
1772154876.8896174,231.0,-20370.0
1772154876.8816175,231.0,-20370.0
1772154876.8896174,231.0,-20370.0
1772154876.8831236,230.0,-20370.0
1772154876.8911235,230.0,-20370.0
1772154876.8896942,230.0,-20370.0
1772154876.897694,230.0,-20370.0
1772154876.898938,230.0,-20370.0
1772154876.9069378,230.0,-20371.0
1772154876.9151826,230.0,-20371.0
1772154876.9231825,230.0,-20370.0
1772154876.9249215,230.0,-20370.0
1772154876.9329214,230.0,-20370.0
1772154876.926286,230.0,-20370.0
1772154876.9342859,230.0,-20370.0
1772154876.9293075,230.0,-20370.0
1772154876.9373074,230.0,-20370.0
1772154876.9389415,230.0,-20370.0
1772154876.9469414,230.0,-20370.0
1772154876.9466562,226.0,-20370.0
1772154876.9546561,226.0,-20370.0
1772154876.9618204,226.0,-20370.0
1772154876.9698203,226.0,-20370.0
1772154876.9633257,226.0,-20370.0
1772154876.9713256,226.0,-20370.0
1772154876.9693866,226.0,-20370.0
1772154876.9773865,226.0,-20370.0
1772154876.9784791,229.0,-20370.0
1772154876.986479,229.0,-20370.0
1772154876.9876041,229.0,-20370.0
1772154876.995604,229.0,-20370.0
1772154876.9967372,229.0,-20370.0
1772154877.0047371,229.0,-20370.0
1772154877.0093675,229.0,-20370.0
1772154877.0173674,229.0,-20370.0
1772154877.0110774,226.0,-20370.0
1772154877.0190773,226.0,-20370.0
1772154877.019285,226.0,-20370.0
1772154877.0272849,226.0,-20370.0
1772154877.0268736,226.0,-20370.0
1772154877.0348735,226.0,-20370.0
1772154877.0344577,226.0,-20370.0
1772154877.0424576,226.0,-20371.0
1772154877.0420399,227.0,-20370.0
1772154877.0500398,227.0,-20370.0
1772154877.0556014,227.0,-20371.0
1772154877.0636013,227.0,-20370.0
1772154877.0608768,227.0,-20371.0
1772154877.0688767,227.0,-20371.0
1772154877.0669632,227.0,-20371.0
1772154877.074963,227.0,-20371.0
1772154877.1026878,228.0,-20371.0
1772154877.1106877,228.0,-20371.0
1772154877.1026878,228.0,-20371.0
1772154877.1106877,228.0,-20371.0
1772154877.1047347,228.0,-20371.0
1772154877.1127346,228.0,-20371.0
1772154877.1047347,228.0,-20371.0
1772154877.1127346,228.0,-20371.0
1772154877.1062481,228.0,-20371.0
1772154877.114248,228.0,-20371.0
1772154877.1153648,228.0,-20371.0
1772154877.1233647,228.0,-20371.0
1772154877.123005,228.0,-20371.0
1772154877.1310048,228.0,-20371.0
1772154877.1292925,228.0,-20371.0
1772154877.1372924,228.0,-20371.0
1772154877.139201,229.0,-20371.0
1772154877.1472008,229.0,-20371.0
1772154877.1507242,229.0,-20371.0
1772154877.158724,229.0,-20371.0
1772154877.15391,229.0,-20371.0
1772154877.1619098,229.0,-20371.0
1772154877.163096,229.0,-20371.0
1772154877.1710958,229.0,-20371.0
1772154877.1694965,229.0,-20371.0
1772154877.1774964,229.0,-20371.0
1772154877.1956298,229.0,-20371.0
1772154877.2036297,229.0,-20371.0
1772154877.1959379,229.0,-20371.0
1772154877.2039378,229.0,-20371.0
1772154877.2217221,229.0,-20372.0
1772154877.229722,229.0,-20371.0
1772154877.2232425,231.0,-20371.0
1772154877.2312424,231.0,-20371.0
1772154877.2478402,231.0,-20372.0
1772154877.25584,231.0,-20372.0
1772154877.2495227,231.0,-20372.0
1772154877.2575226,231.0,-20372.0
1772154877.254095,231.0,-20372.0
1772154877.262095,231.0,-20372.0
1772154877.2556078,231.0,-20371.0
1772154877.2636077,231.0,-20371.0
1772154877.2556078,231.0,-20372.0
1772154877.2636077,231.0,-20372.0
1772154877.2556078,231.0,-20371.0
1772154877.2636077,231.0,-20371.0
1772154877.2591443,231.0,-20371.0
1772154877.2671442,231.0,-20371.0
1772154877.2682312,229.0,-20371.0
1772154877.276231,229.0,-20371.0
1772154877.2758036,229.0,-20371.0
1772154877.2838035,229.0,-20371.0
1772154877.2929983,229.0,-20372.0
1772154877.3009982,229.0,-20372.0
1772154877.2929983,229.0,-20371.0
1772154877.3009982,229.0,-20372.0
1772154877.29831,228.0,-20372.0
1772154877.30631,228.0,-20372.0
1772154877.3074257,228.0,-20372.0
1772154877.3154256,228.0,-20372.0
1772154877.3150067,228.0,-20372.0
1772154877.3230066,228.0,-20372.0
1772154877.3291366,228.0,-20372.0
1772154877.3371365,228.0,-20372.0
1772154877.3382988,228.0,-20372.0
1772154877.3462987,228.0,-20372.0
1772154877.3398273,228.0,-20372.0
1772154877.3478272,228.0,-20372.0
1772154877.3464477,228.0,-20372.0
1772154877.3544476,228.0,-20372.0
1772154877.3550541,228.0,-20372.0
1772154877.363054,228.0,-20372.0
1772154877.3633127,228.0,-20373.0
1772154877.3713126,228.0,-20372.0
1772154877.3693912,228.0,-20372.0
1772154877.377391,228.0,-20372.0
1772154877.3824656,228.0,-20372.0
1772154877.3904655,228.0,-20372.0
1772154877.3883293,228.0,-20372.0
1772154877.3963292,228.0,-20372.0
1772154877.3959131,231.0,-20372.0
1772154877.403913,231.0,-20372.0
1772154877.401966,231.0,-20372.0
1772154877.409966,231.0,-20372.0
1772154877.4110749,231.0,-20372.0
1772154877.4190748,231.0,-20372.0
1772154877.426145,231.0,-20372.0
1772154877.434145,231.0,-20372.0
1772154877.426145,227.0,-20372.0
1772154877.434145,227.0,-20372.0
1772154877.4354162,227.0,-20372.0
1772154877.443416,227.0,-20372.0
1772154877.443069,227.0,-20372.0
1772154877.4510689,227.0,-20372.0
1772154877.451194,227.0,-20372.0
1772154877.459194,227.0,-20372.0
1772154877.4592988,229.0,-20372.0
1772154877.4672987,229.0,-20372.0
1772154877.4714086,229.0,-20373.0
1772154877.4794085,229.0,-20372.0
1772154877.4846518,229.0,-20372.0
1772154877.4926517,229.0,-20373.0
1772154877.4846518,229.0,-20373.0
1772154877.4926517,229.0,-20373.0
1772154877.48973,227.0,-20372.0
1772154877.4977298,227.0,-20372.0
1772154877.4988685,227.0,-20372.0
