# team: Cosmic Horror
# label: fist-down-out
# timestamp: 20260226_201320
# sample_rate: 250
# samples: 2424
# duration_sec: 9.715
# channels: GSR,Ch2
#
timestamp,GSR,Ch2
1772154790.5803237,247.0,-19637.0
1772154790.5883236,247.0,-19638.0
1772154790.5863967,247.0,-19638.0
1772154790.5943966,247.0,-19637.0
1772154790.5958297,247.0,-19637.0
1772154790.6038296,247.0,-19638.0
1772154790.6036294,247.0,-19638.0
1772154790.6116292,247.0,-19637.0
1772154790.6171155,247.0,-19638.0
1772154790.6251154,247.0,-19638.0
1772154790.621468,247.0,-19638.0
1772154790.629468,247.0,-19637.0
1772154790.6274447,247.0,-19637.0
1772154790.6354446,247.0,-19638.0
1772154790.636714,247.0,-19638.0
1772154790.6447139,247.0,-19638.0
1772154790.6428947,236.0,-19638.0
1772154790.6508946,236.0,-19638.0
1772154790.6521268,236.0,-19638.0
1772154790.6601267,236.0,-19638.0
1772154790.6619287,236.0,-19638.0
1772154790.6699286,236.0,-19638.0
1772154790.6675498,236.0,-19638.0
1772154790.6755497,236.0,-19638.0
1772154790.6923277,239.0,-19638.0
1772154790.7003276,239.0,-19638.0
1772154790.6923277,239.0,-19638.0
1772154790.7003276,239.0,-19638.0
1772154790.7092512,239.0,-19638.0
1772154790.717251,239.0,-19638.0
1772154790.7092512,239.0,-19638.0
1772154790.717251,239.0,-19638.0
1772154790.7132804,238.0,-19638.0
1772154790.7212803,238.0,-19638.0
1772154790.716294,238.0,-19638.0
1772154790.724294,238.0,-19638.0
1772154790.7396438,238.0,-19638.0
1772154790.7476437,238.0,-19638.0
1772154790.7396438,238.0,-19639.0
1772154790.7476437,238.0,-19639.0
1772154790.7416675,234.0,-19638.0
1772154790.7496674,234.0,-19638.0
1772154790.7462127,234.0,-19639.0
1772154790.7542126,234.0,-19639.0
1772154790.7610662,234.0,-19638.0
1772154790.769066,234.0,-19638.0
1772154790.764029,234.0,-19639.0
1772154790.772029,234.0,-19639.0
1772154790.7717266,246.0,-19639.0
