# team: Cosmic Horror
# label: fist-down-up
# timestamp: 20260226_201341
# sample_rate: 250
# samples: 3448
# duration_sec: 13.784
# channels: GSR,Ch2
#
timestamp,GSR,Ch2
1772154807.4731698,229.0,-19801.0
1772154807.4811697,229.0,-19802.0
1772154807.4777613,240.0,-19802.0
1772154807.4857612,240.0,-19802.0
1772154807.4823422,240.0,-19802.0
1772154807.4903421,240.0,-19802.0
1772154807.4913535,240.0,-19802.0
1772154807.4993534,240.0,-19802.0
1772154807.5006557,240.0,-19802.0
1772154807.5086555,240.0,-19802.0
1772154807.5069435,238.0,-19802.0
1772154807.5149434,238.0,-19803.0
1772154807.5237865,238.0,-19802.0
1772154807.5317864,238.0,-19802.0
1772154807.5278642,238.0,-19803.0
1772154807.535864,238.0,-19803.0
1772154807.5324125,238.0,-19802.0
1772154807.5404124,238.0,-19802.0
1772154807.5385816,238.0,-19802.0
1772154807.5465815,238.0,-19803.0
1772154807.546723,238.0,-19803.0
1772154807.5547228,238.0,-19802.0
1772154807.5559332,238.0,-19803.0
1772154807.5639331,238.0,-19803.0
1772154807.572343,238.0,-19803.0
1772154807.580343,238.0,-19802.0
1772154807.5763662,235.0,-19803.0
1772154807.584366,235.0,-19803.0
1772154807.5795867,235.0,-19803.0
1772154807.5875866,235.0,-19803.0
1772154807.5873265,235.0,-19803.0
1772154807.5953264,235.0,-19803.0
1772154807.5966277,235.0,-19803.0
1772154807.6046276,235.0,-19803.0
1772154807.6028855,228.0,-19803.0
1772154807.6108854,228.0,-19803.0
1772154807.6159096,228.0,-19804.0
1772154807.6239095,228.0,-19803.0
1772154807.618934,228.0,-19803.0
1772154807.6269338,228.0,-19804.0
1772154807.6276531,228.0,-19804.0
1772154807.635653,228.0,-19803.0
1772154807.6370065,234.0,-19803.0
1772154807.6450064,234.0,-19804.0
1772154807.6631327,234.0,-19804.0
1772154807.6711326,234.0,-19804.0
1772154807.6631327,234.0,-19803.0
1772154807.6711326,234.0,-19804.0
1772154807.6636362,234.0,-19804.0
1772154807.671636,234.0,-19804.0
1772154807.6674857,235.0,-19803.0
1772154807.6754856,235.0,-19804.0
1772154807.676221,235.0,-19804.0
1772154807.6842208,235.0,-19804.0
1772154807.6825302,235.0,-19804.0
1772154807.69053,235.0,-19804.0
1772154807.691831,235.0,-19804.0
1772154807.699831,235.0,-19804.0
1772154807.7103517,243.0,-19804.0
1772154807.7183516,243.0,-19804.0
1772154807.7150354,243.0,-19804.0
1772154807.7230353,243.0,-19804.0
1772154807.7337298,243.0,-19804.0
1772154807.7417297,243.0,-19804.0
1772154807.735236,243.0,-19804.0
1772154807.7432358,243.0,-19805.0
1772154807.7607934,236.0,-19804.0
1772154807.7687933,236.0,-19804.0
1772154807.7623057,236.0,-19805.0
1772154807.7703056,236.0,-19805.0
1772154807.7865572,236.0,-19805.0
1772154807.794557,236.0,-19805.0
1772154807.7880638,236.0,-19805.0
1772154807.7960637,236.0,-19805.0
1772154807.7910893,225.0,-19805.0
1772154807.7990892,225.0,-19805.0
1772154807.8014219,225.0,-19805.0
1772154807.8094218,225.0,-19805.0
1772154807.8014219,225.0,-19805.0
1772154807.8094218,225.0,-19805.0
