# team: Cosmic Horror
# label: palm-down-out
# timestamp: 20260226_201210
# sample_rate: 250
# samples: 2592
# duration_sec: 10.366
# channels: GSR,Ch2
#
timestamp,GSR,Ch2
1772154719.6689713,262.0,-18977.0
1772154719.6769712,262.0,-18977.0
1772154719.6758258,262.0,-18977.0
1772154719.6838257,262.0,-18977.0
1772154719.6851528,262.0,-18977.0
1772154719.6931527,262.0,-18977.0
1772154719.7033818,262.0,-18977.0
1772154719.7113817,262.0,-18977.0
1772154719.7090006,258.0,-18977.0
1772154719.7170005,258.0,-18977.0
1772154719.7090006,258.0,-18978.0
1772154719.7170005,258.0,-18977.0
1772154719.7168384,258.0,-18977.0
1772154719.7248383,258.0,-18977.0
1772154719.722907,258.0,-18978.0
1772154719.730907,258.0,-18977.0
1772154719.744156,261.0,-18977.0
1772154719.7521558,261.0,-18977.0
1772154719.7497942,261.0,-18978.0
1772154719.7577941,261.0,-18977.0
1772154719.7554598,261.0,-18977.0
1772154719.7634597,261.0,-18978.0
1772154719.7554598,261.0,-18978.0
1772154719.7634597,261.0,-18978.0
1772154719.7646415,266.0,-18977.0
1772154719.7726414,266.0,-18978.0
1772154719.7719064,266.0,-18978.0
1772154719.7799063,266.0,-18978.0
1772154719.779666,266.0,-18978.0
1772154719.7876658,266.0,-18978.0
1772154719.7971337,266.0,-18978.0
1772154719.8051336,266.0,-18978.0
1772154719.803312,257.0,-18978.0
1772154719.811312,257.0,-18978.0
1772154719.803312,257.0,-18978.0
1772154719.811312,257.0,-18978.0
1772154719.8124359,257.0,-18978.0
1772154719.8204358,257.0,-18978.0
1772154719.8205366,257.0,-18978.0
1772154719.8285365,257.0,-18978.0
1772154719.8266864,261.0,-18978.0
1772154719.8346863,261.0,-18978.0
1772154719.842578,261.0,-18978.0
1772154719.8505778,261.0,-18979.0
1772154719.8481371,261.0,-18978.0
1772154719.856137,261.0,-18978.0
1772154719.8528585,261.0,-18978.0
1772154719.8608584,261.0,-18979.0
1772154719.8771362,261.0,-18979.0
1772154719.8851361,261.0,-18978.0
1772154719.8771362,261.0,-18979.0
1772154719.8851361,261.0,-18979.0
1772154719.8791487,261.0,-18979.0
1772154719.8871486,261.0,-18979.0
1772154719.9042625,261.0,-18979.0
1772154719.9122624,261.0,-18979.0
1772154719.9042625,260.0,-18979.0
1772154719.9122624,260.0,-18979.0
1772154719.9339318,260.0,-18979.0
1772154719.9419317,260.0,-18979.0
1772154719.9354484,260.0,-18979.0
1772154719.9434483,260.0,-18979.0
1772154719.9536765,260.0,-18979.0
1772154719.9616764,260.0,-18979.0
1772154719.9551826,261.0,-18979.0
1772154719.9631824,261.0,-18979.0
1772154719.9556854,261.0,-18979.0
1772154719.9636853,261.0,-18979.0
1772154719.9605985,261.0,-18979.0
1772154719.9685984,261.0,-18979.0
1772154719.9605985,261.0,-18979.0
1772154719.9685984,261.0,-18979.0
1772154719.962173,260.0,-18979.0
1772154719.970173,260.0,-18979.0
1772154719.965371,260.0,-18979.0
1772154719.9733708,260.0,-18979.0
1772154719.973581,260.0,-18980.0
1772154719.981581,260.0,-18979.0
1772154719.9841335,260.0,-18979.0
1772154719.9921334,260.0,-18979.0
1772154719.9891107,262.0,-18980.0
1772154719.9971106,262.0,-18980.0
1772154719.9973695,262.0,-18979.0
1772154720.0053694,262.0,-18980.0
1772154720.0034194,262.0,-18980.0
1772154720.0114193,262.0,-18980.0
1772154720.0126965,262.0,-18980.0
1772154720.0206964,262.0,-18980.0
1772154720.0204868,259.0,-18980.0
1772154720.0284867,259.0,-18980.0
1772154720.0319173,259.0,-18980.0
1772154720.0399172,259.0,-18980.0
1772154720.044926,259.0,-18980.0
1772154720.0529258,259.0,-18980.0
1772154720.0528545,259.0,-18980.0
1772154720.0608544,259.0,-18980.0
1772154720.0534506,261.0,-18980.0
1772154720.0614505,261.0,-18980.0
1772154720.0592034,261.0,-18980.0
1772154720.0672033,261.0,-18980.0
1772154720.077437,261.0,-18980.0
1772154720.0854368,261.0,-18981.0
1772154720.083023,261.0,-18980.0
1772154720.091023,261.0,-18980.0
1772154720.0878456,263.0,-18980.0
1772154720.0958455,263.0,-18981.0
1772154720.092399,263.0,-18981.0
1772154720.1003988,263.0,-18980.0
1772154720.1015759,263.0,-18980.0
1772154720.1095757,263.0,-18981.0
1772154720.1078749,263.0,-18981.0
1772154720.1158748,263.0,-18980.0
1772154720.1250064,262.0,-18981.0
1772154720.1330063,262.0,-18981.0
1772154720.130731,262.0,-18981.0
1772154720.138731,262.0,-18981.0
1772154720.1322527,262.0,-18980.0
1772154720.1402526,262.0,-18981.0
1772154720.139817,262.0,-18981.0
1772154720.147817,262.0,-18981.0
1772154720.1488812,262.0,-18981.0
1772154720.156881,262.0,-18981.0
1772154720.1564293,262.0,-18981.0
1772154720.1644292,262.0,-18981.0
1772154720.1699662,262.0,-18981.0
1772154720.177966,262.0,-18981.0
1772154720.1717782,262.0,-18981.0
1772154720.179778,262.0,-18981.0
1772154720.1811702,264.0,-18981.0
1772154720.1891701,264.0,-18981.0
1772154720.1874707,264.0,-18981.0
1772154720.1954706,264.0,-18981.0
1772154720.1968324,264.0,-18981.0
1772154720.2048323,264.0,-18981.0
1772154720.2030597,264.0,-18982.0
1772154720.2110596,264.0,-18982.0
1772154720.2192998,260.0,-18981.0
1772154720.2272997,260.0,-18981.0
1772154720.2258322,260.0,-18982.0
1772154720.2338321,260.0,-18982.0
1772154720.2274094,260.0,-18981.0
1772154720.2354093,260.0,-18981.0
1772154720.2368302,260.0,-18981.0
1772154720.2448301,260.0,-18982.0
1772154720.2455058,260.0,-18982.0
1772154720.2535057,260.0,-18981.0
1772154720.275969,260.0,-18982.0
1772154720.283969,260.0,-18982.0
1772154720.2774904,260.0,-18982.0
1772154720.2854903,260.0,-18982.0
1772154720.3108134,260.0,-18982.0
1772154720.3188133,260.0,-18982.0
1772154720.3108134,260.0,-18982.0
1772154720.3188133,260.0,-18982.0
1772154720.325917,260.0,-18982.0
1772154720.333917,260.0,-18982.0
1772154720.3274248,260.0,-18982.0
1772154720.3354247,260.0,-18982.0
1772154720.330446,260.0,-18982.0
1772154720.338446,260.0,-18983.0
1772154720.330446,263.0,-18983.0
1772154720.338446,263.0,-18982.0
1772154720.3325698,263.0,-18982.0
1772154720.3405697,263.0,-18982.0
1772154720.334176,263.0,-18983.0
1772154720.342176,263.0,-18982.0
1772154720.334176,263.0,-18982.0
1772154720.342176,263.0,-18982.0
1772154720.340562,257.0,-18983.0
1772154720.348562,257.0,-18982.0
1772154720.348285,257.0,-18982.0
1772154720.3562849,257.0,-18983.0
1772154720.3649588,257.0,-18983.0
1772154720.3729587,257.0,-18983.0
1772154720.3664691,257.0,-18982.0
1772154720.374469,257.0,-18983.0
1772154720.372495,259.0,-18983.0
1772154720.3804948,259.0,-18983.0
1772154720.3816173,259.0,-18983.0
1772154720.3896172,259.0,-18983.0
1772154720.3877122,259.0,-18983.0
1772154720.3957121,259.0,-18983.0
1772154720.4030943,259.0,-18983.0
1772154720.4110942,259.0,-18983.0
1772154720.4059725,262.0,-18983.0
1772154720.4139724,262.0,-18983.0
