# team: grant
# label: fist_downout_09
# timestamp: 20260227_144730
# sample_rate: 250
# samples: 1334
# duration_sec: 5.364
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772221645.1030943,658.0,809.0
1772221645.1110942,658.0,804.0
1772221645.1055007,653.0,808.0
1772221645.1135006,654.0,807.0
1772221645.1060188,663.0,805.0
1772221645.1140187,661.0,810.0
1772221645.1077769,661.0,811.0
1772221645.1157768,660.0,802.0
1772221645.1094437,655.0,811.0
1772221645.1174436,654.0,808.0
1772221645.1143174,654.0,807.0
1772221645.1223173,653.0,806.0
1772221645.1238294,659.0,807.0
1772221645.1318293,655.0,806.0
1772221645.130472,657.0,809.0
1772221645.1384718,655.0,803.0
1772221645.147108,656.0,804.0
1772221645.155108,658.0,812.0
1772221645.1590674,657.0,807.0
1772221645.1670673,655.0,810.0
1772221645.1595788,652.0,812.0
1772221645.1675787,654.0,809.0
1772221645.1629574,656.0,809.0
1772221645.1709573,654.0,809.0
1772221645.1710258,647.0,806.0
1772221645.1790257,646.0,799.0
1772221645.1776218,653.0,806.0
1772221645.1856217,659.0,809.0
1772221645.1900918,659.0,805.0
1772221645.1980917,650.0,806.0
1772221645.1956494,650.0,815.0
1772221645.2036493,653.0,812.0
1772221645.2034807,657.0,801.0
1772221645.2114806,657.0,801.0
1772221645.2376163,653.0,808.0
1772221645.2456162,653.0,811.0
1772221645.238622,654.0,804.0
1772221645.2466218,654.0,805.0
1772221645.238622,651.0,807.0
1772221645.2466218,653.0,809.0
1772221645.260742,653.0,809.0
1772221645.2687418,649.0,806.0
1772221645.2628188,648.0,805.0
1772221645.2708187,649.0,809.0
1772221645.2876678,650.0,812.0
1772221645.2956676,653.0,805.0
1772221645.2897606,649.0,804.0
1772221645.2977605,651.0,807.0
1772221645.3004045,661.0,807.0
1772221645.3084044,653.0,809.0
1772221645.3029678,652.0,811.0
1772221645.3109677,656.0,807.0
1772221645.3029678,657.0,813.0
1772221645.3109677,660.0,804.0
1772221645.3060584,661.0,802.0
1772221645.3140583,658.0,810.0
1772221645.307639,658.0,808.0
1772221645.3156388,658.0,805.0
1772221645.307639,658.0,808.0
1772221645.3156388,658.0,815.0
1772221645.3144195,656.0,815.0
1772221645.3224194,655.0,808.0
1772221645.3294883,653.0,806.0
1772221645.3374882,659.0,809.0
1772221645.3315032,657.0,810.0
1772221645.339503,664.0,812.0
1772221645.3396127,666.0,804.0
1772221645.3476126,658.0,810.0
1772221645.3474622,656.0,810.0
1772221645.355462,658.0,811.0
1772221645.3542163,655.0,806.0
1772221645.3622162,653.0,800.0
1772221645.3815553,655.0,810.0
1772221645.3895552,658.0,814.0
1772221645.3825295,661.0,808.0
1772221645.3905294,651.0,801.0
1772221645.394014,654.0,808.0
1772221645.4020138,656.0,815.0
1772221645.3950086,650.0,806.0
1772221645.4030085,648.0,803.0
1772221645.397045,655.0,806.0
1772221645.4050448,657.0,812.0
1772221645.403185,655.0,819.0
1772221645.4111848,652.0,814.0
1772221645.4114332,653.0,801.0
1772221645.419433,652.0,803.0
1772221645.4243236,653.0,805.0
1772221645.4323235,651.0,807.0
1772221645.4273567,650.0,809.0
1772221645.4353566,649.0,809.0
1772221645.4344351,653.0,807.0
1772221645.442435,655.0,804.0
1772221645.4424598,651.0,807.0
1772221645.4504597,652.0,808.0
1772221645.452824,653.0,807.0
1772221645.460824,652.0,804.0
1772221645.457664,653.0,805.0
1772221645.465664,651.0,812.0
1772221645.4750013,656.0,813.0
1772221645.4830012,656.0,805.0
1772221645.4854758,654.0,810.0
1772221645.4934757,653.0,812.0
1772221645.487319,654.0,806.0
1772221645.495319,659.0,805.0
1772221645.5075915,658.0,812.0
1772221645.5155914,656.0,813.0
1772221645.5095396,660.0,815.0
1772221645.5175395,664.0,810.0
1772221645.5201442,657.0,807.0
1772221645.5281441,656.0,813.0
1772221645.521152,658.0,814.0
1772221645.529152,659.0,802.0
1772221645.5227587,661.0,808.0
1772221645.5307586,662.0,816.0
1772221645.5310285,660.0,807.0
1772221645.5390284,659.0,804.0
1772221645.5381,661.0,810.0
1772221645.5461,661.0,813.0
1772221645.5461059,659.0,810.0
1772221645.5541058,658.0,809.0
1772221645.5651731,662.0,805.0
1772221645.573173,664.0,812.0
1772221645.5667713,659.0,816.0
1772221645.5747712,657.0,811.0
1772221645.5704188,656.0,804.0
1772221645.5784187,652.0,806.0
1772221645.5804868,657.0,806.0
1772221645.5884867,659.0,812.0
1772221645.5887127,661.0,805.0
1772221645.5967126,659.0,807.0
1772221645.5947585,660.0,811.0
1772221645.6027584,653.0,812.0
1772221645.619654,650.0,811.0
1772221645.6276538,657.0,809.0
1772221645.6228437,659.0,812.0
1772221645.6308436,656.0,817.0
1772221645.6477566,655.0,805.0
1772221645.6557565,655.0,803.0
1772221645.650358,655.0,805.0
1772221645.6583579,653.0,810.0
1772221645.6736817,654.0,813.0
1772221645.6816816,655.0,813.0
1772221645.6762147,653.0,804.0
1772221645.6842146,655.0,810.0
1772221645.679324,652.0,817.0
1772221645.6873238,654.0,812.0
1772221645.6814306,660.0,802.0
1772221645.6894305,658.0,808.0
1772221645.6814306,654.0,804.0
1772221645.6894305,656.0,811.0
1772221645.6824408,657.0,819.0
1772221645.6904407,657.0,813.0
1772221645.6839583,656.0,807.0
1772221645.6919582,656.0,803.0
1772221645.6908672,659.0,806.0
1772221645.698867,656.0,811.0
1772221645.7071276,657.0,813.0
1772221645.7151275,658.0,807.0
1772221645.7091444,662.0,808.0
1772221645.7171443,664.0,809.0
1772221645.7402678,658.0,809.0
1772221645.7482677,658.0,809.0
1772221645.743398,662.0,806.0
1772221645.7513978,665.0,804.0
1772221645.7531657,662.0,806.0
1772221645.7611656,654.0,811.0
1772221645.7547648,653.0,809.0
1772221645.7627647,656.0,812.0
1772221645.7547648,657.0,813.0
1772221645.7627647,658.0,809.0
1772221645.7565362,656.0,809.0
1772221645.7645361,654.0,811.0
1772221645.7613893,660.0,820.0
1772221645.7693892,661.0,812.0
1772221645.7882102,656.0,800.0
1772221645.79621,657.0,800.0
1772221645.7882102,661.0,811.0
1772221645.79621,661.0,812.0
1772221645.798765,660.0,810.0
1772221645.8067648,656.0,807.0
1772221645.8013988,658.0,813.0
1772221645.8093987,657.0,814.0
1772221645.8204932,657.0,807.0
1772221645.828493,656.0,808.0
1772221645.8204932,660.0,811.0
1772221645.828493,659.0,818.0
1772221645.8215017,657.0,811.0
1772221645.8295016,658.0,804.0
1772221645.826531,656.0,810.0
1772221645.8345308,660.0,815.0
1772221645.8362036,662.0,810.0
1772221645.8442035,661.0,807.0
1772221645.8481476,663.0,808.0
1772221645.8561475,665.0,808.0
1772221645.852207,663.0,808.0
1772221645.8602068,662.0,805.0
1772221645.8584163,659.0,809.0
1772221645.8664162,654.0,816.0
1772221645.8675835,649.0,813.0
1772221645.8755834,652.0,802.0
1772221645.8754733,658.0,805.0
1772221645.8834732,660.0,811.0
1772221645.882522,658.0,820.0
1772221645.890522,656.0,824.0
1772221645.8926637,656.0,812.0
1772221645.9006636,658.0,808.0
1772221645.8982437,661.0,811.0
1772221645.9062436,664.0,802.0
1772221645.9153566,665.0,805.0
1772221645.9233565,663.0,810.0
1772221645.9153566,661.0,813.0
1772221645.9233565,656.0,809.0
1772221645.9251432,656.0,811.0
1772221645.9331431,656.0,812.0
1772221645.9488125,660.0,811.0
1772221645.9568124,659.0,820.0
1772221645.9488125,659.0,812.0
