# team: grant
# label: fist_downout_02
# timestamp: 20260227_144526
# sample_rate: 250
# samples: 1390
# duration_sec: 5.564
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772221521.204452,809.0,876.0
1772221521.212452,806.0,873.0
1772221521.2115047,802.0,882.0
1772221521.2195046,813.0,888.0
1772221521.2257605,807.0,883.0
1772221521.2337604,806.0,883.0
1772221521.2272813,815.0,881.0
1772221521.2352812,813.0,885.0
1772221521.2384214,808.0,883.0
1772221521.2464213,807.0,880.0
1772221521.2442605,809.0,882.0
1772221521.2522604,812.0,886.0
1772221521.2540224,812.0,879.0
1772221521.2620223,807.0,881.0
1772221521.262125,804.0,880.0
1772221521.270125,803.0,881.0
1772221521.272597,810.0,886.0
1772221521.280597,819.0,880.0
1772221521.2761247,809.0,884.0
1772221521.2841246,806.0,880.0
1772221521.2843769,807.0,881.0
1772221521.2923768,800.0,881.0
1772221521.2925985,808.0,878.0
1772221521.3005984,812.0,883.0
1772221521.3011873,813.0,889.0
1772221521.3091872,810.0,879.0
1772221521.3081675,797.0,876.0
1772221521.3161674,814.0,880.0
1772221521.3195221,819.0,886.0
1772221521.327522,811.0,884.0
1772221521.341723,802.0,885.0
1772221521.3497229,808.0,875.0
1772221521.341723,807.0,886.0
1772221521.3497229,809.0,883.0
1772221521.3438168,808.0,877.0
1772221521.3518167,809.0,881.0
1772221521.3478556,810.0,883.0
1772221521.3558555,809.0,884.0
1772221521.373775,803.0,884.0
1772221521.381775,808.0,884.0
1772221521.373775,807.0,883.0
1772221521.381775,808.0,883.0
1772221521.375346,813.0,881.0
1772221521.3833458,811.0,879.0
1772221521.380325,805.0,880.0
1772221521.388325,808.0,878.0
1772221521.4121509,810.0,880.0
1772221521.4201508,808.0,875.0
1772221521.413887,803.0,883.0
1772221521.421887,810.0,888.0
1772221521.4323983,808.0,880.0
1772221521.4403982,809.0,875.0
1772221521.4339726,808.0,880.0
1772221521.4419725,802.0,883.0
1772221521.461263,802.0,882.0
1772221521.4692628,811.0,883.0
1772221521.461263,818.0,877.0
1772221521.4692628,812.0,880.0
1772221521.462269,811.0,878.0
1772221521.470269,809.0,876.0
1772221521.4641151,803.0,881.0
1772221521.472115,811.0,883.0
1772221521.4641151,813.0,882.0
1772221521.472115,807.0,883.0
1772221521.4641151,812.0,884.0
1772221521.472115,806.0,888.0
1772221521.4683871,807.0,880.0
1772221521.476387,804.0,876.0
1772221521.476878,806.0,875.0
1772221521.4848778,807.0,878.0
1772221521.4846284,809.0,882.0
1772221521.4926283,807.0,872.0
1772221521.4931543,803.0,884.0
1772221521.5011542,799.0,888.0
1772221521.5083702,806.0,881.0
1772221521.51637,812.0,878.0
1772221521.5108838,813.0,882.0
1772221521.5188837,814.0,880.0
1772221521.5172963,807.0,890.0
1772221521.5252962,812.0,883.0
1772221521.5409544,815.0,884.0
1772221521.5489542,810.0,879.0
1772221521.5409544,800.0,875.0
1772221521.5489542,799.0,882.0
1772221521.5440667,800.0,885.0
1772221521.5520666,805.0,885.0
1772221521.547286,812.0,887.0
1772221521.555286,819.0,876.0
1772221521.5815365,809.0,876.0
1772221521.5895364,808.0,881.0
1772221521.5834875,801.0,882.0
1772221521.5914874,810.0,879.0
1772221521.5844982,816.0,876.0
1772221521.592498,811.0,878.0
1772221521.5867794,805.0,883.0
1772221521.5947793,803.0,884.0
1772221521.5893805,810.0,883.0
1772221521.5973804,812.0,884.0
1772221521.6081378,819.0,887.0
1772221521.6161377,816.0,881.0
1772221521.6096702,804.0,866.0
1772221521.61767,800.0,877.0
1772221521.6119318,801.0,892.0
1772221521.6199317,806.0,884.0
1772221521.6199641,806.0,878.0
1772221521.627964,804.0,880.0
1772221521.6287284,805.0,879.0
1772221521.6367283,804.0,888.0
1772221521.6362073,809.0,887.0
1772221521.6442072,811.0,890.0
1772221521.6534922,808.0,882.0
1772221521.661492,810.0,880.0
1772221521.6534922,814.0,872.0
1772221521.661492,814.0,870.0
1772221521.660576,807.0,874.0
1772221521.668576,806.0,883.0
1772221521.6668105,804.0,881.0
1772221521.6748104,805.0,875.0
1772221521.6765153,800.0,879.0
1772221521.6845152,793.0,882.0
1772221521.6855204,802.0,874.0
1772221521.6935203,808.0,881.0
1772221521.7000299,806.0,886.0
1772221521.7080297,812.0,889.0
1772221521.7015429,813.0,890.0
1772221521.7095428,807.0,873.0
1772221521.7083437,806.0,872.0
1772221521.7163436,808.0,887.0
1772221521.7179801,810.0,882.0
1772221521.72598,811.0,875.0
1772221521.7236629,808.0,883.0
1772221521.7316628,805.0,887.0
1772221521.7318273,806.0,882.0
1772221521.7398272,804.0,872.0
1772221521.7474384,809.0,870.0
1772221521.7554383,803.0,881.0
1772221521.7494025,801.0,886.0
