# team: unknown
# label: uppercut_12
# timestamp: 20260227_155453
# sample_rate: 250
# samples: 2906
# duration_sec: 11.612
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772225682.1170082,850.0,284.0
1772225682.125008,847.0,283.0
1772225682.1170082,857.0,284.0
1772225682.125008,857.0,287.0
1772225682.133182,853.0,288.0
1772225682.141182,855.0,287.0
1772225682.1342182,853.0,286.0
1772225682.142218,854.0,285.0
1772225682.1352942,858.0,288.0
1772225682.143294,855.0,285.0
1772225682.139649,853.0,281.0
1772225682.1476488,851.0,283.0
1772225682.1877763,855.0,287.0
1772225682.1957762,851.0,285.0
1772225682.1885617,848.0,281.0
1772225682.1965616,857.0,284.0
1772225682.1916406,859.0,292.0
1772225682.1996405,855.0,290.0
1772225682.1936984,852.0,289.0
1772225682.2016983,854.0,288.0
1772225682.2129576,855.0,287.0
1772225682.2209575,853.0,286.0
1772225682.222881,852.0,287.0
1772225682.230881,852.0,286.0
1772225682.225445,855.0,286.0
1772225682.233445,857.0,282.0
1772225682.225445,858.0,276.0
1772225682.233445,856.0,287.0
1772225682.225445,857.0,292.0
1772225682.233445,855.0,291.0
1772225682.2273207,852.0,290.0
1772225682.2353206,853.0,286.0
1772225682.2473252,856.0,284.0
1772225682.255325,854.0,286.0
1772225682.2490869,849.0,290.0
1772225682.2570868,849.0,288.0
1772225682.273134,853.0,285.0
1772225682.281134,858.0,285.0
1772225682.2767715,858.0,286.0
1772225682.2847714,852.0,288.0
1772225682.301248,847.0,286.0
1772225682.309248,850.0,286.0
1772225682.302683,862.0,287.0
1772225682.310683,859.0,285.0
1772225682.302683,855.0,286.0
1772225682.310683,856.0,285.0
1772225682.3036892,855.0,288.0
1772225682.3116891,850.0,290.0
1772225682.305504,852.0,289.0
1772225682.313504,856.0,290.0
1772225682.305504,856.0,288.0
1772225682.313504,854.0,288.0
1772225682.308775,853.0,288.0
1772225682.3167748,855.0,287.0
1772225682.3134716,856.0,283.0
1772225682.3214715,853.0,285.0
1772225682.3263707,854.0,288.0
1772225682.3343706,856.0,288.0
1772225682.3693285,854.0,286.0
1772225682.3773284,853.0,288.0
1772225682.370223,852.0,285.0
1772225682.378223,854.0,286.0
1772225682.371221,851.0,286.0
1772225682.379221,850.0,283.0
1772225682.37175,852.0,283.0
1772225682.37975,854.0,286.0
1772225682.3726883,857.0,288.0
1772225682.3806882,852.0,291.0
1772225682.390045,853.0,287.0
1772225682.3980448,856.0,288.0
1772225682.390552,856.0,287.0
1772225682.398552,855.0,287.0
1772225682.392309,851.0,284.0
1772225682.4003088,853.0,286.0
1772225682.3959596,850.0,288.0
1772225682.4039595,854.0,289.0
1772225682.4012084,855.0,289.0
1772225682.4092083,855.0,289.0
1772225682.4096835,857.0,288.0
1772225682.4176834,855.0,286.0
1772225682.44324,853.0,288.0
1772225682.4512398,851.0,288.0
1772225682.454071,852.0,287.0
1772225682.462071,852.0,290.0
1772225682.457175,856.0,293.0
1772225682.465175,854.0,290.0
1772225682.4585955,854.0,287.0
1772225682.4665954,851.0,286.0
