# team: unknown
# label: superman_15
# timestamp: 20260227_153525
# sample_rate: 250
# samples: 3098
# duration_sec: 12.375
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772224512.636787,892.0,467.0
1772224512.6447868,894.0,461.0
1772224512.6394045,914.0,464.0
1772224512.6474044,922.0,471.0
1772224512.6412926,931.0,483.0
1772224512.6492925,938.0,476.0
1772224512.6422284,941.0,467.0
1772224512.6502283,933.0,482.0
1772224512.6442554,933.0,504.0
1772224512.6522553,932.0,495.0
1772224512.6474168,920.0,482.0
1772224512.6554167,904.0,486.0
1772224512.6810856,904.0,483.0
1772224512.6890855,918.0,471.0
1772224512.698708,913.0,459.0
1772224512.706708,907.0,455.0
1772224512.7059658,904.0,465.0
1772224512.7139657,909.0,469.0
1772224512.7075703,902.0,460.0
1772224512.7155702,893.0,474.0
1772224512.723315,901.0,475.0
1772224512.731315,917.0,472.0
1772224512.7338188,909.0,467.0
1772224512.7418187,915.0,475.0
1772224512.7338188,916.0,481.0
1772224512.7418187,921.0,490.0
1772224512.7360022,912.0,488.0
1772224512.744002,914.0,480.0
1772224512.7370124,916.0,480.0
1772224512.7450123,927.0,491.0
1772224512.7370124,921.0,483.0
1772224512.7450123,913.0,469.0
1772224512.7393212,910.0,489.0
1772224512.7473211,908.0,486.0
1772224512.7523584,899.0,477.0
1772224512.7603583,898.0,469.0
1772224512.7704105,898.0,475.0
1772224512.7784104,905.0,476.0
1772224512.774237,914.0,474.0
1772224512.7822368,913.0,468.0
1772224512.774765,914.0,474.0
1772224512.782765,914.0,478.0
1772224512.7798023,916.0,487.0
1772224512.7878022,915.0,479.0
1772224512.7833948,914.0,466.0
1772224512.7913947,917.0,465.0
1772224512.813218,922.0,484.0
1772224512.821218,910.0,473.0
1772224512.8160367,915.0,476.0
1772224512.8240366,916.0,480.0
1772224512.8165436,919.0,475.0
1772224512.8245435,923.0,462.0
1772224512.8165436,921.0,466.0
1772224512.8245435,921.0,486.0
1772224512.8245184,922.0,501.0
1772224512.8325183,913.0,483.0
1772224512.8325171,905.0,462.0
1772224512.840517,913.0,489.0
1772224512.8607635,921.0,488.0
1772224512.8687634,915.0,479.0
1772224512.862732,910.0,470.0
1772224512.8707318,909.0,474.0
1772224512.8637452,924.0,489.0
1772224512.871745,927.0,484.0
1772224512.8660355,918.0,461.0
1772224512.8740354,924.0,460.0
1772224512.8747492,917.0,483.0
1772224512.882749,916.0,502.0
1772224512.8811102,919.0,489.0
1772224512.88911,911.0,493.0
1772224512.9068968,932.0,483.0
1772224512.9148967,940.0,487.0
1772224512.9085317,909.0,484.0
1772224512.9165316,908.0,475.0
1772224512.909555,914.0,475.0
1772224512.9175549,941.0,487.0
1772224512.9112523,929.0,476.0
1772224512.9192522,912.0,478.0
1772224512.9220974,924.0,496.0
1772224512.9300973,945.0,514.0
1772224512.9550543,947.0,501.0
1772224512.9630542,918.0,468.0
1772224512.955563,926.0,469.0
1772224512.963563,943.0,481.0
1772224512.973664,937.0,499.0
1772224512.981664,907.0,467.0
1772224512.97588,907.0,469.0
1772224512.9838798,910.0,498.0
1772224513.0004106,917.0,508.0
1772224513.0084105,917.0,482.0
1772224513.0018017,933.0,486.0
1772224513.0098016,948.0,506.0
1772224513.0024548,939.0,520.0
1772224513.0104547,915.0,483.0
1772224513.012917,919.0,497.0
1772224513.020917,932.0,504.0
1772224513.012917,927.0,518.0
1772224513.020917,913.0,497.0
1772224513.0144968,959.0,470.0
1772224513.0224967,945.0,506.0
1772224513.0144968,932.0,545.0
1772224513.0224967,922.0,504.0
1772224513.0528455,916.0,471.0
1772224513.0608454,942.0,490.0
1772224513.0551524,941.0,517.0
1772224513.0631523,935.0,500.0
1772224513.0551524,941.0,478.0
1772224513.0631523,950.0,486.0
1772224513.0551524,940.0,499.0
1772224513.0631523,928.0,524.0
1772224513.0772426,904.0,507.0
1772224513.0852425,938.0,509.0
1772224513.0791879,960.0,541.0
1772224513.0871878,966.0,530.0
1772224513.0791879,949.0,495.0
1772224513.0871878,944.0,507.0
1772224513.1013813,956.0,501.0
1772224513.1093812,952.0,501.0
1772224513.1033084,923.0,472.0
1772224513.1113083,922.0,484.0
1772224513.1048374,951.0,500.0
1772224513.1128373,971.0,535.0
1772224513.105853,940.0,521.0
1772224513.113853,924.0,494.0
1772224513.105853,921.0,494.0
1772224513.113853,950.0,525.0
1772224513.1124055,934.0,489.0
1772224513.1204054,935.0,487.0
1772224513.1472378,944.0,488.0
1772224513.1552377,956.0,488.0
1772224513.1487694,952.0,483.0
1772224513.1567693,933.0,465.0
1772224513.1561308,957.0,478.0
1772224513.1641307,945.0,528.0
1772224513.1635828,954.0,513.0
1772224513.1715827,941.0,468.0
1772224513.166157,950.0,485.0
1772224513.174157,950.0,507.0
1772224513.166157,940.0,537.0
1772224513.174157,905.0,494.0
1772224513.1928096,934.0,479.0
1772224513.2008095,936.0,497.0
1772224513.1945088,937.0,497.0
1772224513.2025087,958.0,453.0
1772224513.1945088,957.0,467.0
1772224513.2025087,950.0,521.0
1772224513.1945088,935.0,522.0
1772224513.2025087,922.0,473.0
1772224513.2053993,912.0,469.0
1772224513.2133992,938.0,492.0
