# team: unknown
# label: zombie_13
# timestamp: 20260227_154956
# sample_rate: 250
# samples: 3320
# duration_sec: 13.256
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772225382.8582063,1020.0,361.0
1772225382.8662062,1017.0,365.0
1772225382.8745594,1018.0,360.0
1772225382.8825593,1022.0,357.0
1772225382.875702,1019.0,362.0
1772225382.8837018,1014.0,366.0
1772225382.8774674,1022.0,364.0
1772225382.8854673,1012.0,360.0
1772225382.8798633,1013.0,354.0
1772225382.8878632,1019.0,358.0
1772225382.880494,1017.0,360.0
1772225382.888494,1016.0,363.0
1772225382.9116085,1013.0,363.0
1772225382.9196084,1014.0,358.0
1772225382.9136,1018.0,361.0
1772225382.9215999,1020.0,365.0
1772225382.9136,1020.0,365.0
1772225382.9215999,1019.0,360.0
1772225382.94395,1020.0,359.0
1772225382.9519498,1024.0,360.0
1772225382.94395,1019.0,357.0
1772225382.9519498,1017.0,357.0
1772225382.9459279,1022.0,357.0
1772225382.9539278,1020.0,362.0
1772225382.9465518,1021.0,361.0
1772225382.9545517,1019.0,363.0
1772225382.947419,1019.0,362.0
1772225382.9554188,1019.0,365.0
1772225382.950038,1022.0,361.0
1772225382.9580379,1027.0,360.0
1772225382.959745,1018.0,359.0
1772225382.9677448,1015.0,358.0
1772225382.9892094,1013.0,364.0
1772225382.9972093,1020.0,367.0
1772225382.992383,1023.0,361.0
1772225383.000383,1021.0,357.0
1772225382.993901,1020.0,364.0
1772225383.001901,1021.0,363.0
1772225382.9954333,1018.0,360.0
1772225383.0034332,1007.0,358.0
1772225382.9980252,1023.0,360.0
1772225383.006025,1025.0,360.0
1772225383.0162098,1026.0,358.0
1772225383.0242097,1021.0,358.0
1772225383.0347075,1016.0,364.0
1772225383.0427074,1019.0,362.0
1772225383.036376,1026.0,357.0
1772225383.044376,1020.0,346.0
1772225383.0380175,1016.0,356.0
1772225383.0460174,1014.0,366.0
1772225383.0380175,1023.0,362.0
1772225383.0460174,1022.0,359.0
1772225383.0472357,1018.0,363.0
1772225383.0552356,1018.0,363.0
1772225383.0714705,1022.0,363.0
1772225383.0794704,1020.0,361.0
1772225383.0894055,1020.0,358.0
1772225383.0974054,1018.0,361.0
1772225383.1420586,1011.0,363.0
1772225383.1500585,1019.0,359.0
1772225383.143708,1020.0,354.0
