# team: unknown
# label: uppercut_15
# timestamp: 20260227_155615
# sample_rate: 250
# samples: 3200
# duration_sec: 12.801
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772225762.3198318,782.0,274.0
1772225762.3278317,782.0,278.0
1772225762.3238552,780.0,273.0
1772225762.331855,777.0,271.0
1772225762.3284073,779.0,280.0
1772225762.3364072,781.0,281.0
1772225762.3637824,774.0,273.0
1772225762.3717823,767.0,276.0
1772225762.3637824,763.0,279.0
1772225762.3717823,762.0,282.0
1772225762.3839028,784.0,282.0
1772225762.3919027,793.0,287.0
1772225762.3865206,787.0,292.0
1772225762.3945205,782.0,283.0
1772225762.4150982,768.0,273.0
1772225762.423098,741.0,275.0
1772225762.4234095,728.0,291.0
1772225762.4314094,738.0,289.0
1772225762.4251204,783.0,286.0
1772225762.4331203,801.0,285.0
1772225762.4251204,790.0,283.0
1772225762.4331203,781.0,280.0
1772225762.4359958,769.0,288.0
1772225762.4439957,758.0,289.0
1772225762.4359958,774.0,283.0
1772225762.4439957,796.0,280.0
1772225762.437613,800.0,295.0
1772225762.445613,799.0,286.0
1772225762.437613,803.0,281.0
1772225762.445613,806.0,292.0
1772225762.4540637,784.0,293.0
1772225762.4620636,757.0,287.0
1772225762.4610655,762.0,283.0
1772225762.4690654,784.0,286.0
1772225762.4622784,791.0,286.0
1772225762.4702783,796.0,284.0
1772225762.4622784,794.0,292.0
1772225762.4702783,785.0,301.0
1772225762.4749966,784.0,299.0
1772225762.4829965,789.0,293.0
1772225762.4749966,790.0,281.0
1772225762.4829965,790.0,276.0
1772225762.4979022,790.0,288.0
1772225762.505902,788.0,294.0
1772225762.4979022,792.0,296.0
1772225762.505902,793.0,299.0
1772225762.5079472,787.0,298.0
1772225762.515947,778.0,291.0
1772225762.5079472,756.0,284.0
1772225762.515947,747.0,287.0
1772225762.5224228,762.0,287.0
1772225762.5304227,786.0,282.0
1772225762.5224228,792.0,292.0
1772225762.5304227,788.0,302.0
1772225762.530544,788.0,297.0
1772225762.538544,784.0,285.0
1772225762.5536609,787.0,289.0
1772225762.5616608,789.0,299.0
1772225762.5536609,788.0,308.0
1772225762.5616608,783.0,308.0
1772225762.5622175,784.0,304.0
1772225762.5702174,787.0,296.0
1772225762.5622175,786.0,293.0
1772225762.5702174,787.0,296.0
1772225762.5700765,781.0,295.0
1772225762.5780764,775.0,297.0
1772225762.5777688,769.0,299.0
1772225762.5857687,768.0,293.0
1772225762.6033583,771.0,288.0
1772225762.6113582,770.0,294.0
1772225762.6033583,771.0,291.0
1772225762.6113582,783.0,287.0
1772225762.6129973,793.0,287.0
1772225762.6209972,800.0,297.0
1772225762.6136522,804.0,310.0
1772225762.6216521,785.0,299.0
1772225762.618361,764.0,293.0
1772225762.626361,766.0,294.0
1772225762.6254575,770.0,297.0
1772225762.6334574,776.0,295.0
1772225762.6507466,797.0,291.0
1772225762.6587465,792.0,284.0
1772225762.6522837,781.0,297.0
1772225762.6602836,786.0,309.0
1772225762.6602237,780.0,311.0
1772225762.6682236,781.0,308.0
1772225762.6844702,795.0,294.0
1772225762.69247,791.0,302.0
1772225762.6844702,773.0,307.0
1772225762.69247,792.0,300.0
1772225762.6859965,794.0,296.0
1772225762.6939964,791.0,294.0
1772225762.6859965,792.0,282.0
1772225762.6939964,782.0,289.0
1772225762.6895573,771.0,300.0
1772225762.6975572,758.0,299.0
1772225762.6976523,775.0,302.0
1772225762.7056522,791.0,307.0
1772225762.744242,789.0,315.0
1772225762.7522418,790.0,315.0
1772225762.744242,788.0,305.0
1772225762.7522418,783.0,295.0
1772225762.7525148,789.0,288.0
1772225762.7605147,787.0,282.0
1772225762.754545,787.0,292.0
1772225762.7625449,782.0,308.0
1772225762.7668839,779.0,305.0
1772225762.7748837,786.0,292.0
1772225762.7668839,798.0,303.0
1772225762.7748837,785.0,310.0
1772225762.792343,789.0,300.0
1772225762.8003428,788.0,299.0
1772225762.7928612,782.0,298.0
1772225762.8008611,780.0,288.0
1772225762.7928612,778.0,287.0
1772225762.8008611,790.0,300.0
1772225762.7928612,793.0,298.0
1772225762.8008611,785.0,304.0
1772225762.801791,784.0,304.0
1772225762.8097908,774.0,295.0
1772225762.8036072,774.0,295.0
1772225762.8116071,789.0,298.0
1772225762.8036072,787.0,288.0
1772225762.8116071,784.0,289.0
1772225762.8245249,767.0,294.0
1772225762.8325248,772.0,297.0
1772225762.8270605,797.0,298.0
1772225762.8350604,796.0,301.0
1772225762.8286226,792.0,298.0
1772225762.8366225,785.0,305.0
1772225762.8323755,773.0,301.0
1772225762.8403754,791.0,292.0
1772225762.8423002,786.0,296.0
1772225762.8503,780.0,297.0
1772225762.884603,773.0,306.0
1772225762.892603,779.0,312.0
1772225762.893646,800.0,301.0
1772225762.901646,793.0,290.0
1772225762.9031332,795.0,292.0
1772225762.911133,794.0,294.0
1772225762.9031332,784.0,304.0
1772225762.911133,780.0,295.0
1772225762.9053028,783.0,295.0
1772225762.9133027,781.0,302.0
1772225762.9053028,775.0,298.0
1772225762.9133027,790.0,290.0
1772225762.9265506,798.0,281.0
1772225762.9345505,792.0,295.0
1772225762.9276555,791.0,308.0
1772225762.9356554,786.0,299.0
1772225762.9292436,781.0,303.0
1772225762.9372435,792.0,301.0
1772225762.9292436,797.0,288.0
1772225762.9372435,772.0,305.0
1772225762.9315147,778.0,304.0
1772225762.9395146,789.0,294.0
1772225762.9382114,801.0,298.0
1772225762.9462113,787.0,311.0
1772225762.9455698,775.0,315.0
1772225762.9535697,790.0,300.0
1772225762.9534478,788.0,293.0
1772225762.9614477,789.0,284.0
1772225762.9854586,777.0,286.0
1772225762.9934585,769.0,300.0
1772225762.9854586,796.0,301.0
1772225762.9934585,800.0,299.0
1772225762.987409,788.0,296.0
1772225762.995409,790.0,294.0
1772225762.987409,784.0,293.0
1772225762.995409,787.0,296.0
1772225762.9930143,787.0,295.0
1772225763.0010142,782.0,295.0
1772225763.002083,783.0,316.0
1772225763.010083,786.0,298.0
1772225763.0245664,789.0,280.0
1772225763.0325663,783.0,305.0
1772225763.0260942,778.0,314.0
1772225763.034094,787.0,296.0
1772225763.0271049,778.0,293.0
1772225763.0351048,784.0,295.0
1772225763.035163,803.0,296.0
1772225763.0431628,771.0,294.0
1772225763.0417926,786.0,296.0
1772225763.0497925,808.0,294.0
1772225763.0506377,786.0,298.0
1772225763.0586376,783.0,303.0
1772225763.079903,783.0,293.0
1772225763.0879028,772.0,277.0
1772225763.0804732,775.0,289.0
1772225763.088473,785.0,296.0
1772225763.111169,787.0,301.0
1772225763.119169,785.0,314.0
1772225763.1121702,794.0,305.0
1772225763.12017,798.0,285.0
1772225763.1249175,787.0,274.0
1772225763.1329174,781.0,277.0
1772225763.1273534,784.0,306.0
1772225763.1353533,787.0,311.0
1772225763.165351,788.0,305.0
1772225763.1733508,788.0,297.0
1772225763.165351,780.0,294.0
1772225763.1733508,780.0,307.0
1772225763.1719995,788.0,308.0
1772225763.1799994,786.0,302.0
1772225763.1736348,783.0,296.0
1772225763.1816347,779.0,286.0
1772225763.1759677,780.0,297.0
1772225763.1839676,782.0,299.0
1772225763.1775053,787.0,281.0
1772225763.1855052,782.0,294.0
1772225763.1775053,784.0,301.0
1772225763.1855052,784.0,295.0
1772225763.1795316,786.0,302.0
1772225763.1875315,771.0,295.0
1772225763.1800544,764.0,292.0
1772225763.1880543,776.0,294.0
1772225763.1800544,783.0,297.0
1772225763.1880543,794.0,290.0
1772225763.1863563,777.0,289.0
1772225763.1943562,785.0,285.0
1772225763.211414,790.0,290.0
1772225763.219414,783.0,301.0
1772225763.2121,789.0,297.0
1772225763.2201,789.0,293.0
1772225763.2136302,787.0,285.0
1772225763.22163,780.0,284.0
1772225763.2193582,771.0,304.0
1772225763.227358,759.0,302.0
1772225763.2267914,773.0,285.0
1772225763.2347913,790.0,297.0
1772225763.2336829,778.0,297.0
1772225763.2416828,791.0,291.0
1772225763.2559004,795.0,283.0
1772225763.2639003,790.0,289.0
1772225763.2791133,783.0,301.0
1772225763.2871132,780.0,302.0
1772225763.2809627,778.0,299.0
1772225763.2889626,777.0,295.0
1772225763.2816458,774.0,286.0
1772225763.2896457,775.0,287.0
1772225763.285304,785.0,292.0
1772225763.293304,776.0,293.0
1772225763.2969227,775.0,285.0
1772225763.3049226,773.0,278.0
1772225763.3055663,783.0,277.0
1772225763.3135662,791.0,288.0
1772225763.3162344,779.0,299.0
1772225763.3242342,774.0,314.0
1772225763.3178988,769.0,313.0
1772225763.3258986,766.0,299.0
1772225763.3303483,799.0,297.0
1772225763.3383482,781.0,282.0
1772225763.3328946,773.0,278.0
1772225763.3408945,780.0,290.0
1772225763.3364346,780.0,302.0
1772225763.3444345,776.0,289.0
1772225763.354306,763.0,292.0
1772225763.3623059,758.0,290.0
1772225763.3568702,779.0,291.0
1772225763.36487,804.0,293.0
1772225763.3572538,799.0,278.0
1772225763.3652537,785.0,282.0
1772225763.3620486,780.0,266.0
1772225763.3700485,775.0,281.0
1772225763.3703938,786.0,313.0
1772225763.3783937,771.0,303.0
1772225763.3805819,762.0,288.0
1772225763.3885818,792.0,289.0
1772225763.4069152,793.0,286.0
1772225763.414915,787.0,288.0
1772225763.4084647,798.0,288.0
1772225763.4164646,797.0,278.0
1772225763.4084647,781.0,280.0
1772225763.4164646,790.0,282.0
1772225763.4104896,771.0,279.0
1772225763.4184895,755.0,282.0
1772225763.4181848,793.0,274.0
1772225763.4261847,794.0,275.0
1772225763.42478,785.0,292.0
1772225763.4327798,783.0,280.0
1772225763.433857,778.0,276.0
1772225763.4418569,781.0,285.0
1772225763.469994,789.0,285.0
1772225763.477994,791.0,264.0
1772225763.4714572,774.0,264.0
1772225763.4794571,764.0,279.0
1772225763.4883046,769.0,299.0
1772225763.4963045,785.0,287.0
1772225763.4907136,783.0,277.0
1772225763.4987135,788.0,255.0
