# team: grant
# label: baseline_08
# timestamp: 20260227_143806
# sample_rate: 250
# samples: 1390
# duration_sec: 5.577
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772221080.8273518,664.0,807.0
1772221080.8353517,663.0,808.0
1772221080.8336825,664.0,811.0
1772221080.8416824,663.0,808.0
1772221080.842081,661.0,806.0
1772221080.850081,666.0,807.0
1772221080.873582,666.0,808.0
1772221080.8815818,662.0,804.0
1772221080.8749344,666.0,804.0
1772221080.8829343,666.0,807.0
1772221080.8749344,665.0,815.0
1772221080.8829343,663.0,813.0
1772221080.8941226,662.0,806.0
1772221080.9021225,659.0,808.0
1772221080.8957143,664.0,811.0
1772221080.9037142,669.0,810.0
1772221080.9209151,667.0,805.0
1772221080.928915,662.0,806.0
1772221080.925633,662.0,807.0
1772221080.9336329,664.0,809.0
1772221080.9278858,661.0,805.0
1772221080.9358857,661.0,805.0
1772221080.9434283,664.0,809.0
1772221080.9514282,665.0,814.0
1772221080.9450793,666.0,806.0
1772221080.9530792,666.0,807.0
1772221080.9477592,663.0,813.0
1772221080.955759,660.0,813.0
1772221080.9499583,663.0,807.0
1772221080.9579582,667.0,806.0
1772221080.9499583,666.0,806.0
1772221080.9579582,664.0,810.0
1772221080.963792,662.0,811.0
1772221080.971792,661.0,808.0
1772221080.963792,663.0,809.0
1772221080.971792,668.0,813.0
1772221080.970423,664.0,809.0
1772221080.9784229,663.0,805.0
1772221080.9763775,662.0,808.0
1772221080.9843774,661.0,810.0
1772221080.9844003,662.0,810.0
1772221080.9924002,662.0,800.0
1772221080.9940205,664.0,797.0
1772221081.0020204,664.0,813.0
1772221081.0105488,664.0,818.0
1772221081.0185487,662.0,809.0
1772221081.0105488,662.0,809.0
1772221081.0185487,663.0,811.0
1772221081.0176272,665.0,812.0
1772221081.0256271,663.0,806.0
1772221081.0260618,663.0,807.0
1772221081.0340617,662.0,810.0
1772221081.0336707,664.0,813.0
1772221081.0416706,663.0,809.0
1772221081.043819,663.0,808.0
1772221081.0518188,663.0,811.0
1772221081.057103,663.0,812.0
1772221081.0651028,666.0,805.0
1772221081.0587323,664.0,808.0
1772221081.0667322,661.0,811.0
1772221081.0656028,663.0,813.0
1772221081.0736027,662.0,808.0
1772221081.0742304,661.0,805.0
1772221081.0822303,660.0,807.0
1772221081.0821831,662.0,812.0
1772221081.090183,664.0,811.0
1772221081.0892513,661.0,803.0
1772221081.0972512,663.0,805.0
1772221081.1043465,667.0,814.0
1772221081.1123464,664.0,814.0
1772221081.105907,661.0,807.0
1772221081.1139069,663.0,808.0
1772221081.1130147,669.0,809.0
1772221081.1210146,660.0,812.0
1772221081.120892,661.0,804.0
1772221081.128892,662.0,805.0
1772221081.1306489,663.0,810.0
1772221081.1386487,664.0,810.0
1772221081.1362112,662.0,807.0
1772221081.144211,662.0,809.0
1772221081.1532168,663.0,811.0
1772221081.1612167,664.0,812.0
1772221081.1548498,663.0,805.0
1772221081.1628497,663.0,805.0
1772221081.1618571,663.0,807.0
1772221081.169857,662.0,809.0
1772221081.1689126,661.0,809.0
1772221081.1769125,665.0,805.0
1772221081.1773486,660.0,807.0
1772221081.1853485,663.0,815.0
1772221081.1874223,663.0,816.0
1772221081.1954222,660.0,808.0
1772221081.19703,662.0,810.0
1772221081.20503,661.0,813.0
1772221081.2021217,664.0,814.0
1772221081.2101216,665.0,805.0
1772221081.208745,664.0,808.0
1772221081.216745,664.0,814.0
1772221081.2173321,667.0,814.0
1772221081.225332,662.0,806.0
1772221081.2260425,662.0,807.0
1772221081.2340424,660.0,809.0
1772221081.2324522,659.0,811.0
1772221081.240452,656.0,804.0
1772221081.2645817,657.0,807.0
1772221081.2725816,659.0,809.0
1772221081.2645817,661.0,811.0
1772221081.2725816,660.0,809.0
1772221081.2944412,660.0,804.0
1772221081.3024411,664.0,808.0
1772221081.2959669,663.0,809.0
1772221081.3039668,661.0,808.0
1772221081.3183537,661.0,809.0
1772221081.3263535,661.0,811.0
1772221081.3199463,663.0,810.0
1772221081.3279462,662.0,809.0
1772221081.339763,663.0,806.0
1772221081.3477628,665.0,811.0
1772221081.3404202,662.0,812.0
1772221081.3484201,659.0,811.0
1772221081.3407698,660.0,805.0
1772221081.3487697,667.0,809.0
1772221081.3407698,661.0,811.0
1772221081.3487697,664.0,811.0
1772221081.3422782,661.0,808.0
1772221081.3502781,661.0,807.0
1772221081.3438346,661.0,810.0
1772221081.3518345,663.0,812.0
1772221081.3448548,661.0,809.0
1772221081.3528547,661.0,804.0
1772221081.3465276,663.0,806.0
1772221081.3545275,664.0,816.0
1772221081.3545992,661.0,811.0
1772221081.3625991,662.0,806.0
1772221081.361145,661.0,808.0
1772221081.369145,662.0,809.0
1772221081.3702736,663.0,805.0
1772221081.3782735,663.0,810.0
1772221081.377028,663.0,815.0
1772221081.385028,662.0,812.0
1772221081.3897963,659.0,808.0
1772221081.3977962,663.0,809.0
1772221081.3997517,664.0,812.0
1772221081.4077516,661.0,814.0
1772221081.4021733,661.0,812.0
1772221081.4101732,663.0,803.0
1772221081.4088948,667.0,804.0
1772221081.4168947,658.0,812.0
1772221081.41749,662.0,814.0
1772221081.42549,661.0,808.0
1772221081.4337413,661.0,813.0
1772221081.4417412,658.0,815.0
1772221081.4453115,667.0,812.0
1772221081.4533114,666.0,806.0
1772221081.4475665,662.0,812.0
1772221081.4555664,659.0,812.0
1772221081.4502416,660.0,815.0
1772221081.4582415,666.0,808.0
1772221081.4569526,663.0,802.0
1772221081.4649525,659.0,811.0
1772221081.4681275,660.0,815.0
1772221081.4761274,660.0,810.0
1772221081.478991,660.0,807.0
1772221081.486991,661.0,810.0
1772221081.4820325,662.0,816.0
1772221081.4900324,661.0,812.0
1772221081.4884036,660.0,809.0
1772221081.4964035,662.0,811.0
1772221081.4979017,660.0,810.0
1772221081.5059016,662.0,813.0
1772221081.5060658,661.0,813.0
1772221081.5140657,662.0,814.0
1772221081.5127652,663.0,814.0
1772221081.520765,665.0,813.0
1772221081.526279,660.0,808.0
1772221081.5342789,658.0,808.0
1772221081.5327127,661.0,809.0
1772221081.5407126,667.0,816.0
1772221081.5360286,661.0,809.0
1772221081.5440285,661.0,810.0
1772221081.5443254,661.0,809.0
1772221081.5523252,662.0,807.0
1772221081.5547018,662.0,808.0
1772221081.5627017,664.0,814.0
1772221081.5723097,662.0,814.0
1772221081.5803096,663.0,815.0
1772221081.5864205,661.0,810.0
1772221081.5944204,661.0,806.0
1772221081.5879657,662.0,811.0
1772221081.5959656,661.0,814.0
1772221081.5907276,661.0,808.0
1772221081.5987275,661.0,811.0
1772221081.5945966,661.0,807.0
1772221081.6025965,659.0,811.0
1772221081.6220474,659.0,818.0
1772221081.6300473,665.0,811.0
1772221081.6220474,663.0,812.0
1772221081.6300473,661.0,814.0
1772221081.6230557,661.0,814.0
1772221081.6310556,663.0,808.0
1772221081.650124,665.0,810.0
1772221081.658124,662.0,813.0
1772221081.6522322,660.0,813.0
1772221081.660232,658.0,808.0
1772221081.6735325,661.0,803.0
1772221081.6815324,662.0,804.0
1772221081.6760662,663.0,815.0
1772221081.684066,663.0,813.0
1772221081.6760662,662.0,814.0
1772221081.684066,665.0,815.0
1772221081.6793473,662.0,815.0
1772221081.6873472,658.0,812.0
1772221081.6808841,664.0,807.0
1772221081.688884,663.0,809.0
1772221081.6808841,661.0,815.0
1772221081.688884,659.0,813.0
1772221081.6906009,662.0,808.0
1772221081.6986008,663.0,812.0
1772221081.6976657,665.0,814.0
1772221081.7056656,660.0,813.0
1772221081.7250628,659.0,807.0
1772221081.7330627,662.0,812.0
1772221081.727158,662.0,814.0
1772221081.735158,660.0,815.0
1772221081.7281666,660.0,808.0
1772221081.7361665,663.0,811.0
1772221081.7296767,660.0,813.0
1772221081.7376766,660.0,813.0
1772221081.737323,661.0,807.0
1772221081.745323,663.0,810.0
1772221081.7471201,661.0,813.0
